feature,importance
pick,0.15251048
gbpm,0.07812892
player_JORDAN CLARKSON,0.063963756
shuttle_run_sec,0.04583279
yr_Fr,0.04326193
dbpm,0.038753018
midmade+midmiss,0.035027094
trb_pg,0.029503733
adjoe,0.027247187
drtg,0.027041828
fta,0.025214057
standing_reach_plus_max_vert_in,0.02207179
ast_pg,0.021997213
num,0.020158865
ftr,0.018500727
dreb,0.018489236
weight_lbs,0.01846577
lane_agility_sec,0.018165212
Unnamed: 65,0.015423607
pid,0.014489888
mpg,0.01437117
rimmade/(rimmade+rimmiss),0.014367465
conf_P10,0.0129965665
hand_width_in,0.012237971
standing_reach_in,0.0102464575
height_w_shoes_in,0.010058436
blk_per,0.009535846
fg3m,0.008948335
position_PG,0.008592187
stl_pg,0.0077794665
bmi,0.0075264354
Rec Rank,0.007508433
fg3a,0.007449109
fg3_pct,0.007322221
ts_pct_given,0.00706387
dporpag,0.006055139
stl_per,0.0057337205
midmade/(midmade+midmiss),0.005588946
tov_pct,0.0049344636
usg,0.004932615
pfr,0.004888496
ogbpm,0.004804739
porpag,0.004772307
bpm,0.0044524376
ft_pct,0.004302238
three_quarter_sprint_sec,0.003911836
twopa,0.003845138
ast_pct,0.0037416138
dgbpm,0.0036671949
obpm,0.003555663
ht_1-Jun,0.0033551953
dunksmade/(dunksmade+dunksmiss),0.0030716627
twopm,0.003032214
rimmade,0.0029124096
rimmade+rimmiss,0.0028733236
dunksmade,0.0028434815
orb_pct,0.0028300057
minutes,0.002343378
adrtg,0.00225868
standing_reach_plus_vert_in,0.002235514
Min_per,0.0021022847
wingspan_in,0.00210102
drb_pct,0.001968238
ast/tov,0.0017763197
stops,0.0016339461
efg_pct,0.0013888829
midmade,0.0011709239
twop_pct,0.0011267259
gp,0.0011181808
school_Pittsburgh,0.0010427148
fgm,0.0009827657
fga,0.00067713985
body_fat_pct,0.00044556466
player_RODNEY HOOD,0.00042321783
bench_reps,0.00042292275
pan,0.00038354253
ht_6-Jun,0.000378708
blk_pg,0.00037869846
ortg,0.00036656996
school_Georgetown,0.0003474498
