player,school,conf,gp,Min_per,ortg,usg,efg_pct_given,ts_pct_given,orb_pct,drb_pct,ast_pct,tov_pct,ftm,fta,ft_pct,twopm,twopa,twop_pct,fg3m,fg3a,fg3_pct,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,draft_year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mpg,ogbpm,dgbpm,oreb,dreb,trb_pg,ast_pg,stl_pg,blk_pg,pts_pg,Unnamed: 64,Unnamed: 65,minutes,fgm,fga,efg_pct,ts_pct,position,height_w_shoes_in,weight_lbs,bmi,body_fat_pct,wingspan_in,standing_reach_in,hand_length_in,hand_width_in,vert_no_step_in,vert_max_in,lane_agility_sec,shuttle_run_sec,three_quarter_sprint_sec,bench_reps,BAR,PAN,PBHGT,PDHGT,rookie_per,usage_proxy_per40,ws_ratio,reach_ratio,power_to_weight,bmi_like,shooting_split
AJ PRICE,Connecticut,BE,34,73.0,108.5,24.4,0.507,0.5392,2.1,9.2,28.5,20.2,88,122,0.721,87,206,0.422,78,196,0.398,0.0,1.2,30.3,Sr,2-Jun,,3.82928,120.001,1.6,2009,25744,all,94.8,1.73912572,,,,,,,,,,52.0,97.4776,91.2256,3.75502,164.989,5.47426,4.88235,0.591908,5.72991,31.6765,4.81013,0.91977,0.5882,2.9706,3.5588,4.7059,0.6471,0.0,14.5882,,10.5167,1077.001,165,402,0.5074626865671642,0.5392,PG,72.5,192.8,25.8,0.124,75.75,97.0,,,26.0,31.0,10.99,,3.22,11.0,104.5%,,123.0,128.0,6.4,,1.0448275862068965,1.3379310344827586,1.7686721991701244,0.036680142687277054,0.2736238805970149
AARON GORDON,Arizona,P12,38,77.1,105.5,23.2,0.516,0.5027,10.4,19.3,13.0,12.4,76,180,0.422,173,337,0.513,16,45,0.356,3.4,1.8,47.1,Fr,8-Jun,11.0,2.9415,115.178,3.0,2014,29525,all,99.6,1.36361758,137.0,198.0,36.0,140.0,0.6919,0.2571,54.0,56.0,0.9643,4.0,87.7492,83.3035,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,Wing F,2.35011,1186.9984,189,382,0.5157068062827225,0.5027,PF,79.5,220.1,24.5,0.051,83.75,105.0,8.75,10.5,32.5,39.0,10.81,2.76,3.27,,105.3%,91.9,137.5,144.0,6.8,,1.0534591194968554,1.320754716981132,,0.03482457181282386,0.2592458115183246
ADREIAN PAYNE,Michigan St.,B10,31,56.7,113.5,27.1,0.565,0.6065999999999999,6.8,22.9,10.2,16.1,109,138,0.79,134,250,0.536,44,104,0.423,3.8,1.0,39.0,Sr,10-Jun,5,4.11945,130.155,3.7,2014,16825,all,95.8,0.65078975,74.0,104.0,60.0,146.0,0.7115,0.411,38.0,42.0,0.9048,15.0,96.6971,91.739,3.68035,170.629,5.16282,3.50668,1.65614,6.39284,28.0645,5.0434,1.34944,1.5484,5.7097,7.2581,1.3226,0.4839,0.9032,16.4194,Stretch 4,7.20749,869.9995,178,354,0.5649717514124294,0.6065999999999999,PF,81.0,238.5,25.6,0.076,88.0,109.0,9.25,9.5,,,,,,,108.6%,87.9,,,7.6,,1.0864197530864197,1.345679012345679,,0.03635116598079561,0.34271186440677964
AL-FAROUQ AMINU,Wake Forest,ACC,31,76.4,101.8,27.8,0.47100000000000003,0.524,14.6,20.5,9.1,20.6,139,199,0.698,149,308,0.484,18,66,0.273,4.5,2.6,53.2,So,9-Jun,1,3.55131,118.004,3.8,2010,5612,all,98.4,0.41415375,112.0,173.0,37.0,135.0,0.6474,0.2741,46.0,48.0,0.9583,8.0,90.2827,85.7956,4.31568,237.061,6.58999,2.7312,3.85879,6.42958,31.2903,4.27468,2.15491,4.2903,6.4194,10.7097,1.3226,1.4194,1.4194,15.8387,PF/C,3.81868,969.9993,167,374,0.47058823529411764,0.524,SF,79.25,216.0,24.2,0.082,87.25,108.5,9.5,9.5,27.0,33.5,11.29,,3.3,13.0,110.1%,90.3,135.5,142.0,6.1,,1.1009463722397477,1.3690851735015772,2.0162037037037037,0.03439182398073421,0.24658823529411766
ALEC BURKS,Colorado,B12,37,78.2,116.2,32.1,0.498,0.5771000000000001,9.1,14.7,19.8,15.0,245,298,0.822,215,421,0.511,28,95,0.295,1.0,2.0,57.8,So,6-Jun,10.0,5.79718,138.341,3.0,2011,14778,all,61.4,1.13404034,122.0,186.0,93.0,235.0,0.6559,0.3957,26.0,28.0,0.9286,12.0,105.007,101.415,2.76887,212.053,5.84106,6.3762,-0.535146,7.23727,31.5946,7.64884,-0.411573,2.3514,4.1081,6.4595,2.973,1.0811,0.2973,20.5135,Wing G,4.71429,1169.0002,243,516,0.49806201550387597,0.5771000000000001,SG,77.0,192.6,22.8,0.051,82.0,103.5,9.0,8.3,29.0,36.0,10.96,,3.17,5.0,106.5%,74.3,132.5,139.5,5.9,,1.0649350649350648,1.344155844155844,0.9345794392523364,0.03248439871816495,0.28743158914728684
ALEX LEN,Maryland,ACC,38,65.8,112.7,22.6,0.535,0.5697,13.2,19.3,7.8,15.6,105,153,0.686,172,316,0.544,1,8,0.125,8.0,0.5,47.2,So,1-Jul,25,3.19146,118.829,4.0,2013,19499,all,,0.61669517,127.0,174.0,45.0,142.0,0.7299,0.3169,67.0,71.0,0.9437,5.0,91.861,88.507,3.41733,214.642,6.95255,2.39556,4.557,6.1296,26.4211,3.33837,2.79123,2.8684,4.9737,7.8421,0.9737,0.2105,2.0526,11.8947,C,0.469137,1004.0018,173,324,0.5354938271604939,0.5697,C,,,,0.064,87.5,,9.0,10.8,,,,,,,,96.8,,,3.1,,,,,,0.30507083333333335
ANDRE DRUMMOND,Connecticut,BE,34,70.3,100.7,20.8,0.5379999999999999,0.5093,14.2,15.5,3.4,16.0,26,88,0.295,157,290,0.541,0,2,0.0,9.9,1.8,30.1,Fr,10-Jun,12,2.16691,106.547,3.1,2012,20311,all,83.4,0.28847914,130.0,185.0,27.0,105.0,0.7027,0.2571,80.0,89.0,0.8989,9.0,95.5401,90.5331,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10.0,C,0.127848,967.0007999999999,157,292,0.5376712328767124,0.5093,C,81.75,278.6,29.3,0.075,90.25,109.5,9.5,9.5,31.5,33.5,10.83,,3.39,10.0,110.4%,90.3,141.0,143.0,13.8,,1.1039755351681957,1.3394495412844036,1.2024407753050967,0.04168747486650021,0.2738359589041096
ANDRE ROBERSON,Colorado,P12,31,77.3,99.8,20.4,0.515,0.524,10.6,27.1,9.4,21.2,54,98,0.551,113,217,0.521,19,58,0.328,4.4,3.9,35.6,Jr,7-Jun,21,2.43566,105.246,3.0,2013,17361,all,69.6,0.5946127,88.0,145.0,20.0,63.0,0.6069,0.3175,17.0,20.0,0.85,26.0,83.7071,79.4846,5.29756,283.374,8.97574,1.61601,7.35973,7.55752,33.4194,2.92706,4.63046,2.9677,8.2258,11.1935,1.4194,2.1613,1.3226,10.871,PF/C,3.39385,1036.0014,132,275,0.5145454545454545,0.524,PF-SF,78.25,205.8,23.6,0.071,83.0,104.5,8.75,9.5,30.0,36.5,11.36,3.02,3.34,10.0,106.1%,83.1,134.5,141.0,3.9,,1.060702875399361,1.3354632587859425,1.7735665694849367,0.03361063193459156,0.2696218181818182
ANDREW GOUDELOCK,College of Charleston,SC,37,88.0,113.6,33.1,0.5489999999999999,0.575,2.3,9.9,26.4,16.3,110,134,0.821,187,377,0.496,131,322,0.407,0.5,1.5,19.2,Sr,2-Jun,3.0,5.77155,132.194,2.0,2011,3120,all,,1.31932084,41.0,68.0,146.0,309.0,0.6029,0.4725,7.0,8.0,0.875,46.0,104.713,104.361,2.75546,204.986,3.82596,5.92043,-2.09447,6.30415,35.1892,7.66592,-1.36177,0.6757,3.1892,3.8649,4.2432,0.8919,0.1892,23.7027,Scoring PG,14.6051,1302.0004,318,699,0.5486409155937053,0.575,PG,73.25,197.6,25.9,0.099,76.25,96.5,8.25,9.3,32.5,37.0,10.33,,3.1,4.0,104.1%,76.3,129.0,133.5,2.6,,1.0409556313993173,1.31740614334471,0.7489878542510122,0.036827452853265615,0.3154685264663805
ANDREW NICHOLSON,St. Bonaventure,A10,32,74.3,116.7,28.1,0.601,0.6377,11.2,22.8,9.4,18.1,128,165,0.776,197,332,0.593,23,53,0.434,7.3,1.3,42.9,Sr,9-Jun,44.0,4.86049,131.488,3.7,2012,8064,all,10.6,0.41248002,109.0,151.0,88.0,181.0,0.7219,0.4862,33.0,36.0,0.9167,19.0,93.7441,91.5303,3.59007,207.66,8.05175,4.51105,3.54069,9.51839,30.0625,7.33232,2.18607,2.5938,5.8125,8.4062,1.0312,0.6562,1.9688,18.4688,PF/C,3.36402,962.0,220,385,0.6012987012987013,0.6377,PF,80.5,234.0,25.4,0.076,88.0,107.0,10.0,10.8,28.5,30.5,11.89,,3.67,10.0,109.3%,107.5,135.5,137.5,8.2,,1.093167701863354,1.329192546583851,1.3034188034188035,0.036109717989275106,0.38344818181818185
