feature,ridge_coef,lasso_coef,abs_ridge,abs_lasso
position_PG,0.12466713852063468,1.0836875287996113,0.12466713852063468,1.0836875287996113
ts_pct,0.11639394810844148,0.4137094471371509,0.11639394810844148,0.4137094471371509
position_PF-C,0.05401001887154013,0.33741986714814093,0.05401001887154013,0.33741986714814093
reach_ratio,0.1303796597957745,0.3254199293959051,0.1303796597957745,0.3254199293959051
weight_lbs,0.057163599431944635,0.2925325288967887,0.057163599431944635,0.2925325288967887
lane_agility_sec,-0.08600863794457433,-0.13661377249039489,0.08600863794457433,0.13661377249039489
body_fat_pct,0.07602594295351936,0.08184952349214923,0.07602594295351936,0.08184952349214923
shooting_split,0.10678996618694529,0.02628944958738819,0.10678996618694529,0.02628944958738819
standing_reach_in,0.043004196101679666,0.011805266626326616,0.043004196101679666,0.011805266626326616
bench_reps,-0.03262167573807338,-0.0,0.03262167573807338,0.0
position_PF-SF,-0.03117351178159305,-0.0,0.03117351178159305,0.0
position_SF-PF,-0.03340357022623578,-0.0,0.03340357022623578,0.0
position_PG-SG,0.03555892039008464,0.0,0.03555892039008464,0.0
position_SF,-0.02691350730440917,-0.0,0.02691350730440917,0.0
position_C-PF,0.020304373866348112,0.0,0.020304373866348112,0.0
position_SF-SG,-0.03655254147969274,-0.0,0.03655254147969274,0.0
position_SG,-0.06126982076944049,-0.0,0.06126982076944049,0.0
position_SG-PG,-0.015953049877991145,-0.0,0.015953049877991145,0.0
position_PF,0.010847867515345317,0.0,0.010847867515345317,0.0
shuttle_run_sec,0.019576236959216006,0.0,0.019576236959216006,0.0
position_C,0.00626609115879838,0.0,0.00626609115879838,0.0
height_w_shoes_in,-0.007238121808350486,0.0,0.007238121808350486,0.0
efg_pct,0.0865963451740358,0.0,0.0865963451740358,0.0
wingspan_in,-0.014389885705434024,0.0,0.014389885705434024,0.0
three_quarter_sprint_sec,-0.0411610713787197,-0.0,0.0411610713787197,0.0
vert_max_in,-0.0057283966800411685,0.0,0.0057283966800411685,0.0
power_to_weight,0.01548966751894821,0.0,0.01548966751894821,0.0
ws_ratio,0.004363279416642565,-0.0,0.004363279416642565,0.0
bmi_like,0.07070261895549437,0.0,0.07070261895549437,0.0
vert_no_step_in,0.005090689207368354,0.0,0.005090689207368354,0.0
position_SG-SF,-0.046388408883389166,-0.0,0.046388408883389166,0.0
